cur_glucose_levels,glucose_levels_lag_1,glucose_levels_lag_2,glucose_levels_lag_3,glucose_levels_lag_4,glucose_levels_lag_5,glucose_mean_levels_lag_1_2,glucose_mean_levels_lag_1_3,glucose_mean_levels_lag_1_4,rolling_mean_2,rolling_mean_3,rolling_mean_5,rolling_mean_10,rolling_std_1,rolling_std_2,rolling_std_3,rolling_std_5,rolling_std_10,rolling_max_2,rolling_min_2,rolling_max_3,rolling_min_3,rolling_max_5,rolling_min_5,rolling_max_10,rolling_min_10,diff_1,diff_4,minute_of_day,hour_of_day,hour_sin,hour_cos,day_period_afternoon,day_period_evening,day_period_morning,day_period_night,day_of_week_0
149.02004375272514,149.02002858555835,149.0200176169034,149.0200100888943,149.02000525553908,149.02000241233705,149.0200231012309,149.02001933722633,149.0200169205487,149.02003616914175,149.0200299850623,149.02002105992406,149.02001089719346,,1.0724806414532746e-05,1.3123995273460404e-05,1.544016567528283e-05,1.4871550419382895e-05,149.02004375272514,149.02002858555835,149.02004375272514,149.0200176169034,149.02004375272514,149.02000525553908,149.02004375272514,149.02000000461345,1.516716679361707e-05,3.8497186068298106e-05,55,0,0.0,1.0,False,False,False,True,True
149.02006386209322,149.02004375272514,149.02002858555835,149.0200176169034,149.0200100888943,149.02000525553908,149.02003616914175,149.0200306848143,149.02002692080973,149.02005380740917,149.02004540012558,149.02003278123487,149.02001728294147,,1.4219470487042679e-05,1.7695873050501223e-05,2.149939726467973e-05,2.178001541829131e-05,149.02006386209322,149.02004375272514,149.02006386209322,149.02002858555835,149.02006386209322,149.0200100888943,149.02006386209322,149.02000005301016,2.010936808005681e-05,5.3773198914086606e-05,60,1,0.25881904510252074,0.9659258262890683,False,False,False,True,True
149.02008962139553,149.02006386209322,149.02004375272514,149.02002858555835,149.0200176169034,149.0200100888943,149.02005380740917,149.02004622382577,149.0200407394983,149.0200767417444,149.02006574540462,149.02004868773514,149.02002623978,,1.8214577336054583e-05,2.2992256849966737e-05,2.872139502612522e-05,3.055605684943282e-05,149.02008962139553,149.02006386209322,149.02008962139553,149.02004375272514,149.02008962139553,149.0200176169034,149.02008962139553,149.02000027447733,2.5759302303640652e-05,7.200449212518834e-05,65,1,0.25881904510252074,0.9659258262890683,False,False,False,True,True
149.02012168504984,149.02008962139553,149.02006386209322,149.02004375272514,149.02002858555835,149.0200176169034,149.0200767417444,149.02006668706034,149.02005910347694,149.02010565322269,149.02009172284622,149.02006950136442,149.02003838083726,,2.2672427421832186e-05,2.896870114670398e-05,3.707037121236382e-05,4.1318012459456454e-05,149.02012168504984,149.02008962139553,149.02012168504984,149.02006386209322,149.02012168504984,149.02002858555835,149.02012168504984,149.02000092787665,3.206365431651648e-05,9.309949149383101e-05,70,1,0.25881904510252074,0.9659258262890683,False,False,False,True,True
149.0201606410423,149.02012168504984,149.02008962139553,149.02006386209322,149.02004375272514,149.02002858555835,149.02010565322269,149.02009277357155,149.0200827188875,149.02014116304608,149.02012398249587,149.02009591246122,149.02005435215383,,2.754604646086829e-05,3.556552047019676e-05,4.6479719302155985e-05,5.4117780348806905e-05,149.0201606410423,149.02012168504984,149.0201606410423,149.02008962139553,149.0201606410423,149.02004375272514,149.0201606410423,149.02000241233705,3.895599246561687e-05,0.00011688831716583081,75,1,0.25881904510252074,0.9659258262890683,False,False,False,True,True
149.02020700168708,149.0201606410423,149.02012168504984,149.02008962139553,149.02006386209322,149.02004375272514,149.02014116304608,149.02012513121892,149.02011225156775,149.0201838213647,149.02016310925976,149.0201285622536,149.02007481108882,,3.278192631703559e-05,4.2711839272789366e-05,5.685857577764776e-05,6.894205505336794e-05,149.02020700168708,149.0201606410423,149.02020700168708,149.02012168504984,149.02020700168708,149.02006386209322,149.02020700168708,149.02000525553908,4.6360644773812965e-05,0.00014313959385958697,80,1,0.25881904510252074,0.9659258262890683,False,False,False,True,True
149.02026119780598,149.02020700168708,149.0201606410423,149.02012168504984,149.02008962139553,149.02006386209322,149.0201838213647,149.02016434336846,149.0201483115413,149.02023409974652,149.02020961351178,149.02016802939616,149.02010040531553,,3.8322443210044786e-05,5.032923499164534e-05,6.809807791631328e-05,8.571817650630542e-05,149.02026119780598,149.02020700168708,149.02026119780598,149.0201606410423,149.02026119780598,149.02008962139553,149.02026119780598,149.0200100888943,5.419611889578846e-05,0.00017157641045173477,85,1,0.25881904510252074,0.9659258262890683,False,False,False,True,True
149.02032357583937,149.02026119780598,149.02020700168708,149.0201606410423,149.02012168504984,149.02008962139553,149.02023409974652,149.02021091942413,149.02019144142793,149.0202923868227,149.0202639251108,149.0202148202849,149.02013175401004,,4.410793046702696e-05,5.833491136441298e-05,8.007705343834945e-05,0.00010432272170834685,149.02032357583937,149.02026119780598,149.02032357583937,149.02020700168708,149.02032357583937,149.02012168504984,149.02032357583937,149.0200176169034,6.237803339104175e-05,0.00020189078952626005,90,1,0.25881904510252074,0.9659258262890683,False,False,False,True,True
149.02039439740463,149.02032357583937,149.02026119780598,149.02020700168708,149.0201606410423,149.02012168504984,149.0202923868227,149.02026528876323,149.02024210844084,149.020358986622,149.02032639035,149.02026936275587,149.02016943206016,,5.0078409129002084e-05,6.664438736020895e-05,9.266701432793085e-05,0.00012459132813927626,149.02039439740463,149.02032357583937,149.02039439740463,149.02026119780598,149.02039439740463,149.0201606410423,149.02039439740463,149.02002858555835,7.082156525939354e-05,0.00023375636232003671,95,1,0.25881904510252074,0.9659258262890683,False,False,False,True,True
149.0204738408461,149.02039439740463,149.02032357583937,149.02026119780598,149.02020700168708,149.0201606410423,149.020358986622,149.02032779760532,149.02030069954586,149.02043411912535,149.02039727136335,149.02033200271666,149.02021395758894,,5.6174996271529475e-05,7.517371738180589e-05,0.00010573641419429147,0.00014632867731578564,149.0204738408461,149.02039439740463,149.0204738408461,149.02032357583937,149.0204738408461,149.02020700168708,149.0204738408461,149.02004375272514,7.944344147858828e-05,0.00026683915902481203,100,1,0.25881904510252074,0.9659258262890683,False,False,False,True,True
