BG,CHO,INS
149.1517204057262,14.023723374640394,1813.1797953851099
149.1535590423313,0.0,5.96
149.16422010099578,0.0,5.96
149.18436171849402,0.0,5.96
149.21241983909982,0.0,5.96
149.24660125034285,0.0,5.96
149.284952966448,0.0,5.96
149.32541995795145,0.0,5.96
149.36589296767715,0.0,5.96
149.4042478979519,0.0,5.96
149.4383780366506,0.0,5.96
149.4662202029645,0.0,5.96
149.48577573398606,0.0,5.96
149.49512709684893,0.0,5.96
149.49245079505727,0.0,5.96
149.47602713892962,0.0,5.96
149.4442473662396,0.0,5.96
149.3956185279478,0.0,5.96
149.32876649347483,0.0,5.96
149.24243737861667,0.0,5.96
149.1354976555493,0.0,5.96
149.00693316721063,0.0,5.96
148.85584723667623,0.0,5.96
148.68145803510106,0.0,5.96
148.48309534866902,0.0,5.96
148.26019686516238,0.0,5.96
148.01230408373362,0.0,5.96
147.73905793680044,0.0,5.96
147.44019420033544,0.0,5.96
147.1155387578873,0.0,5.96
146.76500277419433,0.0,5.96
146.3885778260295,0.0,5.96
145.98633103076315,0.0,5.96
145.5584002069037,0.0,5.96
145.1049890954478,0.0,5.96
144.62636266613234,0.0,5.96
144.1228425285456,0.0,5.96
143.59480246443886,0.0,5.96
143.04266409442772,0.0,5.96
142.46689268951636,0.0,5.96
141.86799313547868,0.0,5.96
141.24650605604052,0.0,5.96
140.60300409899094,0.0,5.96
139.93808838777895,0.0,5.96
139.25238513979272,0.0,5.96
138.54654245134967,0.0,5.96
137.82122724842662,0.0,5.96
137.07712240130627,0.0,5.96
136.31492400059784,0.0,5.96
135.53533879148654,0.0,5.96
134.73908176256657,0.0,5.96
133.9268738852041,0.0,5.96
133.09943999904797,0.0,5.96
132.25750683904795,0.0,5.96
131.40180119914393,0.0,5.96
130.533048227648,0.0,5.96
129.65196984924634,0.0,5.96
128.75928330849297,0.0,5.96
127.85569982965049,0.0,5.96
126.9419233877436,0.0,5.96
126.01864958572955,0.0,5.96
125.08656463275025,0.0,5.96
124.14634441850917,0.0,5.96
123.19865367891066,0.0,5.96
122.24414524820764,0.0,5.96
121.28345939302011,0.0,5.96
120.3172232237147,0.0,5.96
119.34605017876788,0.0,5.96
118.37053957787354,0.0,5.96
117.39127623969722,0.0,5.96
116.40883016032367,0.0,5.96
115.42375624858926,0.0,5.96
114.43659411463678,0.0,5.96
113.44786790817604,0.0,5.96
112.45808620307729,0.0,5.96
111.46774192506822,0.0,5.96
110.47731231944604,0.0,5.96
109.48725895585413,0.0,5.96
108.49802776730934,0.0,5.96
107.51004912079836,0.0,5.96
106.52373791689102,0.0,5.96
105.53949371594496,0.0,5.96
104.55770088859849,0.0,5.96
103.57872878836791,0.0,5.96
102.60293194428024,0.0,5.96
101.63065027158505,0.0,5.96
100.6622092986957,0.0,5.96
99.69792040861579,0.0,5.96
98.73808109320595,0.0,5.96
97.78297521874356,0.0,5.96
96.83287330132055,0.0,5.96
95.88803279071375,0.0,5.96
94.9486983614488,0.0,5.96
94.01510220985959,0.0,5.96
93.08746435602518,0.0,5.96
92.1659929495409,0.0,5.96
91.25088457815222,0.0,5.96
90.34232457834945,0.0,5.96
89.44048734708628,0.0,5.96
88.54553665384792,0.0,5.96
87.65762595235434,0.0,5.96
86.77689869124033,0.0,5.96
85.90348862310826,0.0,5.96
85.0375201113998,0.0,5.96
84.17910843458219,0.0,5.96
83.32836008718928,0.0,5.96
82.48537307730172,0.0,5.96
81.65023722009099,0.0,5.96
80.82308341243656,0.0,5.96
80.01161992273975,0.0,5.96
79.21846238873162,0.0,5.96
78.44301356414014,0.0,5.96
77.68472777259372,0.0,5.96
76.94310498538653,0.0,5.96
76.2176855773181,0.0,5.96
75.50804568526445,0.0,5.96
74.81379310227625,0.0,5.96
74.13456364728358,0.0,5.96
73.47001795700203,0.0,5.96
72.81983865246247,0.0,5.96
72.18372783779498,0.0,5.96
71.56140489355114,0.0,5.96
70.9526045310046,0.0,5.96
70.35707507758048,0.0,5.96
69.77457696687529,0.0,5.96
69.20488140968192,0.0,5.96
68.64776922506805,0.0,5.96
68.10302981290354,0.0,5.96
67.57046025132315,0.0,5.96
67.04986450447369,0.0,5.96
66.54105272755268,0.0,5.96
66.04384065762089,0.0,5.96
65.55804907998368,0.0,5.96
65.08350336110342,0.0,5.96
64.62003304004243,0.0,5.96
64.16747147135771,0.0,5.96
63.72565551318768,0.0,5.96
63.29442525499778,0.0,5.96
62.87362378009701,0.0,5.96
62.46309695861,0.0,5.96
62.06269326709638,0.0,5.96
61.67226363145947,0.0,5.96
61.29166129018488,0.0,5.96
60.920741675302395,0.0,5.96
60.5593623087777,0.0,5.96
60.20738271231663,0.0,5.96
59.86466432880943,0.0,5.96
59.531070453859186,0.0,5.96
59.20646617602929,0.0,5.96
58.89071832461404,0.0,5.96
58.58369542388538,0.0,5.96
58.28526765290038,0.0,5.96
57.995306810070076,0.0,5.96
57.71368628179249,0.0,5.96
57.44028101454265,0.0,5.96
57.17496748989188,0.0,5.96
56.91762370199805,0.0,5.96
56.66812913717005,0.0,5.96
56.42636475516321,0.0,5.96
56.192212971910116,0.0,5.96
55.965557643432035,0.0,5.96
55.746284050712894,0.0,5.96
55.53427888534938,0.0,5.96
55.32943023581818,0.0,5.96
55.131627574225924,0.0,5.96
54.94076174342816,0.0,5.96
54.756724944422416,0.0,5.96
54.57941072393575,0.0,5.96
54.40871396214164,0.0,5.96
54.24453086045264,0.0,5.96
54.086758929345585,0.0,5.96
53.93529697618517,0.0,5.96
53.79004509301918,0.0,5.96
53.650904644325394,0.0,5.96
53.51777825469536,0.0,5.96
53.390569796445575,0.0,5.96
53.26918437714994,0.0,5.96
53.153528327091195,0.0,5.96
53.043509186631574,0.0,5.96
52.93903569350535,0.0,5.96
52.840017770037704,0.0,5.96
52.74636651029609,0.0,5.96
52.65799416718122,0.0,5.96
52.57481413946591,0.0,5.96
52.496740958790646,0.0,5.96
52.423690276625365,0.0,5.96
52.35557885120704,0.0,5.96
52.29232453446315,0.0,5.96
52.23384625893081,0.0,5.96
52.1800640246819,0.0,5.96
52.130898886263594,0.0,5.96
52.08627293966427,0.0,5.96
52.04610930931409,0.0,5.96
